,,,,,,,,,,,,,,,categoryID1::SubCategoryID1___ categoryID2::SubCategoryID2,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Before Off Price,Variants Stock,Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,Child Category Id,Child Category name,HSN Code,IGST,CGST,SGST,Image1,Image2,Image3,Image4,Image5,Image6,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
A0078,CHIA SEEDS,1,1,A0078,CHIA_SEEDS_1,200,g,200,0,100,1,1,2,Dry Fruits & Nuts,2::20,Dry Fruits & Nuts::Seeds,2:::20:::0,Dry Fruits & Nuts:::Seeds:::,90200000,12,6,6,17029850111.jpg,17029850112.jpg,17029850116.jpg,17029850113.jpg,17029850114.jpg,17029850115.jpg,,,,,,,157,Admin,79,19-12-2023 06:23
A0077,Pistachio Irani,1,1,A0077,Pistachio_Irani_1,100,g,120,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029844431.jpg,17029844432.jpg,17029844433.jpg,17029844435.jpg,17029844436.jpg,17029844434.jpg,,,,,,,154,Admin,78,19-12-2023 06:14
,,,,A0077,Pistachio_Irani_2,200,g,200,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,155,,,
,,,,A0077,Pistachio_Irani_3,500,g,250,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,156,,,
A0076,Roasted salted cashew,1,1,A0076,Roasted_salted_cashew_1,100,g,180,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029842981.jpg,17029842982.jpg,17029842986.jpg,17029842984.jpg,17029842983.jpg,17029842985.jpg,,,,,,,151,Admin,77,19-12-2023 06:11
,,,,A0076,Roasted_salted_cashew_2,200,g,200,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,152,,,
,,,,A0076,Roasted_salted_cashew_3,500,g,340,0,99,1,1,,,,,,,,,,,,,,,,,,,,,,,153,,,
A0075,Pistachio California,1,1,A0075,Pistachio_California_1,200,g,100,0,120,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029841461.jpg,17029841462.jpg,17029841466.jpg,17029841463.jpg,17029841464.jpg,17029841465.jpg,,,,,,,149,Admin,76,19-12-2023 06:09
,,,,A0075,Pistachio_California_2,500,g,200,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,150,,,
A0074,Roasted salted almons,1,1,A0074,Roasted_salted_almons_1,100,g,120,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029839881.jpg,17029839882.jpg,17029839885.jpg,17029839883.jpg,17029839884.jpg,17029839886.jpg,,,,,,,146,Admin,75,19-12-2023 06:06
