,,,,,,,,,,,,,,,,,,,,,,,,,Delivery Type,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Variants Stock,Conversion Factor (Kg),Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,HSN Code,IGST,CGST,SGST,Ingredients,Shelf life Period,Shelf life Period Type,Storage Condition,International Delivery,National Delivery,Excluding Local & Hyperlocal (Within Maharashtra),Hyperlocal Delivery,Local Delivery,Pick-up from store,Food Habitats,Quick Description,Tags,Image1,Image2,Image3,Image4,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
,,,,A0992,0992_500,500,g,740,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,,,
A0991,Gulab Chikki,1,1,A0991,0991_250,250,g,340,20,0.25,1,1,2,Sweets,18,Chikki,2106,5,2.5,2.5,"Cashewnuts, Pharma Grade Sugar, Liquid Glucose & Rose Petals",1,month,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,,,Gulab Chikki.jpg,,,,,,,,,,413,krishna,170,12/10/2022 18:06
,,,,A0991,0991_500,500,g,680,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,
A0981,Soanpapadi ,1,1,A0981,0981_250,250,g,120,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Refined Wheat Flour, Gram Flour (Besan), Liquid Glucose, Almonds, Pistachio & Cardamom.",3,months,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,,,Soan-Papadi.png,,,,,,,,,,411,krishna,169,12/10/2022 18:06
A0954,Akroad Halwa,1,1,A0954,0954_250,250,g,420,10,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,,4,days,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight..",0,0,1,1,1,1,,,,,,,,,,,,,,409,krishna,168,12/10/2022 18:06
,,,,A0954,0954_500,500,g,840,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,
A0953,Keshar Moong Halwa,1,1,A0953,0953_250,250,g,245,10,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Split Green Gram (Moong Dal), Pharma Grade Sugar, Buffalo Milk, Clarified Butter (Deshi Ghee), Almonds, Pistachio, Cardamom, Saffron",4,days,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight..",0,1,1,1,1,1,,,,,,,,,,,,,,407,krishna,167,12/10/2022 18:06
,,,,A0953,0953_500,500,g,490,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,
A0923,Rossogulla Tin 1Kg,1,1,A0923,0923_01,1,Kg,320,9,1,1,1,2,Sweets,36,Tin Packed Sweets,2106,5,2.5,2.5,"Cow Milk, Pharma Grade Sugar, Cardamom & Citric Acid",6,months,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight.",0,0,0,1,1,1,,Soft & Spongy,,Bengali_Rossogullas.jpg,,,,,,,,,,406,krishna,166,12/10/2022 18:06
A0921,Gilla Rossogulla,1,1,A0921,0921_05,5,pc,140,10,0.32,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Pharma Grade Sugar, Cardamom & Citric Acid",2,days,"Please, keep in refrigerator.",0,0,0,1,1,1,,Soft & Spongy,,Bengali_Rossogullas.jpg,,,,,,,,,,404,krishna,165,12/10/2022 18:06
