Pincode_Id,Pincode,City,"Werehouse Code","Updated By",Date,Status
730,400093,mumbai,midc,,"2024-02-04 05:28:26",1
738,400094,mumbai,midc,,"2024-02-04 05:28:26",1
746,400095,mumbai,midc,,"2024-02-04 05:28:26",1
754,400096,mumbai,midc,,"2024-02-04 05:28:26",1
762,400097,mumbai,midc,,"2024-02-04 05:28:26",1
769,400098,mumbai,midc,,"2024-02-04 05:28:26",1
778,400099,mumbai,midc,,"2024-02-04 05:28:26",1
783,400100,mumbai,midc,,"2024-02-04 05:28:26",1
790,400101,mumbai,midc,,"2024-02-04 05:28:26",1
799,400102,mumbai,midc,,"2024-02-04 05:28:26",1
806,400103,mumbai,midc,,"2024-02-04 05:28:26",1
814,400104,mumbai,midc,,"2024-02-04 05:28:26",1
821,400105,mumbai,midc,,"2024-02-04 05:28:26",1
826,400106,mumbai,midc,,"2024-02-04 05:28:26",1
829,400107,mumbai,midc,,"2024-02-04 05:28:26",1
834,400108,mumbai,midc,,"2024-02-04 05:28:26",1
836,400109,mumbai,midc,,"2024-02-04 05:28:26",1
838,400110,mumbai,midc,,"2024-02-04 05:28:26",1
840,400111,mumbai,midc,,"2024-02-04 05:28:26",1
843,400112,mumbai,midc,,"2024-02-04 05:28:26",1
845,400113,mumbai,midc,,"2024-02-04 05:28:26",1
848,400114,mumbai,midc,,"2024-02-04 05:28:26",1
849,400125,mumbai,midc,,"2024-02-04 05:28:26",1
853,400162,mumbai,midc,,"2024-02-04 05:28:26",1
856,400167,mumbai,midc,,"2024-02-04 05:28:26",1
860,400202,mumbai,midc,,"2024-02-04 05:28:26",1
863,400401,mumbai,midc,,"2024-02-04 05:28:26",1
867,400410,mumbai,midc,,"2024-02-04 05:28:26",1
869,400547,mumbai,midc,,"2024-02-04 05:28:26",1
877,400613,mumbai,midc,,"2024-02-04 05:28:26",1
881,400700,mumbai,midc,,"2024-02-04 05:28:26",1
888,400701,mumbai,midc,,"2024-02-04 05:28:26",1
897,400708,mumbai,midc,,"2024-02-04 05:28:26",1
906,400709,mumbai,midc,,"2024-02-04 05:28:26",1
915,400710,mumbai,midc,,"2024-02-04 05:28:26",1
920,400713,mumbai,midc,,"2024-02-04 05:28:26",1
925,400901,mumbai,midc,,"2024-02-04 05:28:26",1
928,401016,mumbai,midc,,"2024-02-04 05:28:26",1
931,401100,mumbai,midc,,"2024-02-04 05:28:26",1
938,401104,mumbai,midc,,"2024-02-04 05:28:26",1
947,401107,mumbai,midc,,"2024-02-04 05:28:26",1
953,401200,mumbai,midc,,"2024-02-04 05:28:26",1
959,401203,mumbai,midc,,"2024-02-04 05:28:26",1
963,401214,mumbai,midc,,"2024-02-04 05:28:26",1
967,401407,mumbai,midc,,"2024-02-04 05:28:26",1
970,402225,mumbai,midc,,"2024-02-04 05:28:26",1
971,404502,mumbai,midc,,"2024-02-04 05:28:26",1
976,410107,mumbai,midc,,"2024-02-04 05:28:26",1
978,410219,"navi mumbai",midc,,"2024-02-04 05:28:26",1
980,410303,mumbai,midc,,"2024-02-04 05:28:26",1
983,410708,mumbai,midc,,"2024-02-04 05:28:26",1
989,421001,mumbai,midc,,"2024-02-04 05:28:26",1
997,421003,mumbai,midc,,"2024-02-04 05:28:26",1
1005,421004,mumbai,midc,,"2024-02-04 05:28:26",1
1013,421005,mumbai,midc,,"2024-02-04 05:28:26",1
1023,421051,mumbai,midc,,"2024-02-04 05:28:26",1
1028,421205,mumbai,midc,,"2024-02-04 05:28:26",1
1031,421206,mumbai,midc,,"2024-02-04 05:28:26",1
1037,421306,mumbai,midc,,"2024-02-04 05:28:26",1
1045,421502,mumbai,midc,,"2024-02-04 05:28:26",1
1059,421507,mumbai,midc,,"2024-02-04 05:28:26",1
1063,421607,mumbai,midc,,"2024-02-04 05:28:26",1
1067,410219,"navi mumbai",midc,,"2024-02-04 05:28:26",1
1075,440001,nagpur,midc,,"2024-02-04 05:28:26",1
1084,440002,nagpur,midc,,"2024-02-04 05:28:26",1
